Lake,Ecoregion,EcoregionA,Soil_Infiltration_Rate,E_W
Altus,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),High,W
Arcadia,Cross Timbers (Flint Hills),CT (FH),Very Slow,E
Atoka,Arkansas Valley,AV,Very Slow,E
Bell Cow,Cross Timbers (Flint Hills),CT (FH),Very Slow,E
Birch,Cross Timbers (Flint Hills),CT (FH),Very Slow,E
Bluestem,Cross Timbers (Flint Hills),CT (FH),Very Slow,E
Broken Bow,Ouachita Mountains (South Central Plains),OM (SCP),Slow,E
Brown,Arkansas Valley,AV,Slow,E
Canton,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Moderate,W
Carl Albert,Ouachita Mountains (South Central Plains),OM (SCP),Slow,E
Carl Blackwell,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Very Slow,E
Carl Etling,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Moderate,W
Cedar,Ouachita Mountains (South Central Plains),OM (SCP),Slow,E
Chandler,Cross Timbers (Flint Hills),CT (FH),Very Slow,E
Chelsea,Central Irregular Plains (Boston Mountains),CIP (BM),Very Slow,E
Chickasha,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Very Slow,W
Claremore,Central Irregular Plains (Boston Mountains),CIP (BM),Very Slow,E
Clayton,Ouachita Mountains (South Central Plains),OM (SCP),Slow,E
Clear Creek,Cross Timbers (Flint Hills),CT (FH),Slow,E
Cleveland,Cross Timbers (Flint Hills),CT (FH),Very Slow,E
Clinton,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Moderate,W
Copan,Central Irregular Plains (Boston Mountains),CIP (BM),Very Slow,E
Crowder,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Slow,W
Cushing,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Very Slow,E
Dripping Springs,Cross Timbers (Flint Hills),CT (FH),Very Slow,E
Duncan,Cross Timbers (Flint Hills),CT (FH),Slow,W
Ellsworth,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Slow,W
Elmer Thomas,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Slow,W
Elmore City,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Slow,E
Eucha,Ozark Highlands (Boston Mountains),OH (BM),Moderate,E
Eufaula,Arkansas Valley,AV,Very Slow,E
Fairfax,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Very Slow,E
Fort Cobb,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Moderate,W
Fort Gibson,Central Irregular Plains (Boston Mountains),CIP (BM),Very Slow,E
Fort Supply,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Moderate,W
Foss,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Very Slow,W
