,Ecoregion,EcoregionA,Soil_Infiltration_Rate,E_W,PRECIP,AVG_TOTAL_BV
Arcadia,Cross Timbers (Flint Hills),CT (FH),Very Slow,E,85.1,6.227902786
Birch,Cross Timbers (Flint Hills),CT (FH),Very Slow,E,94.5,4.476692085
Bluestem,Cross Timbers (Flint Hills),CT (FH),Very Slow,E,94.1,1.489896897
Broken Bow,Ouachita Mountains (South Central Plains),OM (SCP),Slow,E,138.4,1.375636332
Brown,Arkansas Valley,AV,Slow,E,107.5,6.176067882
Canton,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Moderate,W,49.3,1.309273185
Carl Blackwell,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Very Slow,E,84,3.994818579
Chickasha,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Very Slow,W,76.9,8.465350148
Claremore,Central Irregular Plains (Boston Mountains),CIP (BM),Very Slow,E,103.1,2.045869873
Clear Creek,Cross Timbers (Flint Hills),CT (FH),Slow,E,86.7,1.74368797
Clinton,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Moderate,W,65.8,3.52309812
Copan,Central Irregular Plains (Boston Mountains),CIP (BM),Very Slow,E,96.4,2.490079282
Crowder,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Slow,W,73.2,4.031585623
Duncan,Cross Timbers (Flint Hills),CT (FH),Slow,W,86.5,0.684631228
Ellsworth,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Slow,W,77.8,3.155350465
Elmer Thomas,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Slow,W,77.2,13.04867937
Elmore City,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Slow,E,90.9,1.892857861
Eucha,Ozark Highlands (Boston Mountains),OH (BM),Moderate,E,113.6,2.65511542
Fort Cobb,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Moderate,W,73.9,1.411437902
Fort Gibson,Central Irregular Plains (Boston Mountains),CIP (BM),Very Slow,E,109.2,2.286024984
Fort Supply,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Moderate,W,54.9,4.397480673
Frederick,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Very Slow,W,71.5,3.799127047
Fuqua,Cross Timbers (Flint Hills),CT (FH),Slow,W,87.7,3.214852662
Great Salt Plains,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Moderate,W,67,9.101824632
Greenleaf,Central Irregular Plains (Boston Mountains),CIP (BM),Very Slow,E,110.3,2.636277571
Hauani,Cross Timbers (Flint Hills),CT (FH),Very Slow,E,97.9,0.577444717
Hefner,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Very Slow,W,84.2,2.661094626
Henryetta,Cross Timbers (Flint Hills),CT (FH),Very Slow,E,105.4,3.464323052
Heyburn,Cross Timbers (Flint Hills),CT (FH),Very Slow,E,94.6,4.32534839
