,Chla_corr_ug.L,Pheophytin_a_ug.L,Phosphorus_mg.L,Secchi_Depth_cm,Turbidity_NTU,Conductivity_uS.cm,DO_mg.L,pH,Temperature_degC,NOx_mg.L,Lake_Area_mi2,Watershed_Area_km2,%_Open_Water,%_Developed,%_Barren_Land,%_Forest,%_Grassland_Shrub,%_Agriculture,%_Wetland,Mean_Annual_Precip_cm
Arcadia,16.2,4.631666667,0.052333333,44.43333333,14.09666667,411.6,8.8125,8.285,21.73975,0.445,2.844,495,2.57,58.4,0.03,20.84,16.9,1.19,0.07,85.1
Birch,10.356,3.698,0.022,101.4,9.06,176.5,9.016,7.884,18.5924,0.206666667,1.776,165,2.75,5.42,0,36.21,49.23,6.32,0.07,94.5
Bluestem,4.351428571,3.202857143,0.050428571,54.375,27.15,189.6,8.95375,7.96375,17.106375,0.16,1.191,122,3.06,1.49,0,3.45,90.73,1.18,0.09,94.1
Broken Bow,4.37,1.496,0.023,266,2.16,36.1,8.842,7.096,20.6554,0.135,22.19,1256,0.36,3.81,0.04,75.76,12.68,7.2,0.16,138.4
Brown,6.346,3.838,0.063,34.4,44.72,105.2,8.354,7.254,20.296,0.13,0.855,54,4.03,12.95,0.19,62.57,17.47,1.93,0.84,107.5
Canton,13.936,4.324,0.049166667,76.14285714,16.31428571,1388.6,9.478571429,8.194285714,16.75671429,0.11,12.359,33030,0.24,3.13,0.08,0.8,61.8,33.57,0.38,49.3
Carl Blackwell,14.726,5.682,0.0324,80.2,10.482,415.25,8.438,8.092,19.1858,0.14,5.266,198,6.81,4.5,0,18.09,64.82,5.33,0.44,84
Chickasha,31.438,3.646,0.038,65.6,7.828,3040.4,9.016,8.018,19.3372,0.09,3.232,190,3.11,3.08,0,20.64,65.8,6.76,0.62,76.9
Claremore,40.8,20.66666667,0.067,50.33333333,12.69333333,168.4333333,9.736666667,7.823333333,16.37233333,0.27,0.734,149,1.95,9.82,0.02,49.05,7.55,31.55,0.05,103.1
Clear Creek,12.7675,3.6725,0.023,134.5,6.425,689.4,9.0325,7.9725,17.249,0.11,0.938,52,6,5.27,0,23.52,49.79,14.65,0.77,86.7
Clinton,36.015,8.6875,0.08025,50.75,20.8,712.8,9.26,8.5525,17.0695,0.1,0.523,24,0.9,4.05,0,2.46,33.92,58.62,0.05,65.8
Copan,13.07,7.8475,0.0735,43.25,28.75,293,9.4825,7.955,14.81475,0.15,7.578,1315,2.22,3.7,0.03,22.34,34.86,36.6,0.26,96.4
Crowder,42.28,13.596,0.0936,78.5,9.25,995.05,9.274,8.004,20.0038,0.5,0.247,69,0.9,3.41,0,2.38,45.37,47.88,0.07,73.2
Duncan,9.81,5.3725,0.02825,94.75,10.09,333.175,8.7925,8.315,19.08575,0.105,0.859,28,6.65,3.19,0,30.75,57.26,1.46,0.68,86.5
Ellsworth,8.694,5.722,0.0838,53.4,20.46,349.8,9.6,8,13.47225,0.266,8.75,646,3.33,4.16,0.1,3.87,55.41,32.95,0.16,77.8
Elmer Thomas,92.185,20.9375,0.222,77.5,14.375,482.2,9.975,8.7075,21.8505,0.9,0.522,0.009924,45.45,27.27,0,0,27.27,0,0,77.2
Elmore City,13.87,9.58,0.06925,52.75,24.2,163.375,8.4875,7.665,18.25525,0.17,0.105,7,4.02,4.13,0,6.02,76,9.7,0.13,90.9
Eucha,23,4.8275,0.041,92.25,9.25,148.9,10.1775,8.2825,17.0375,1.315,4.375,930,1.25,5.91,0.1,46.94,3.79,41.87,0.13,113.6
Fort Cobb,42.61428571,12.32285714,0.110142857,81.14285714,8.607142857,459.1333333,9.413333333,8.313333333,17.337,0.204,6.25,788,2.17,3.73,0.01,3.86,38.14,51.71,0.38,73.9
Fort Gibson,19.53333333,9.86,0.099666667,97.33333333,7,278.8,10.08333333,8.12,21.955,0.17,31.094,991,8.38,5.9,0.09,41.87,4.79,38.42,0.53,109.2
Fort Supply,35.05333333,9.166666667,0.083666667,28,46.8,1300.9,8.633333333,8.35,17.498,0.09,2.812,4963,0.45,2.69,0.28,0.2,72.47,23.26,0.66,54.9
Frederick,5.31,2.42,0.069666667,31.33333333,48.73333333,491.7,8.8,8.033333333,18.70333333,0.22,1.469,148,2.71,3.34,0.03,0.42,83.4,10.04,0.05,71.5
Fuqua,14.605,3.5675,0.0255,88,8.7425,599.8,8.96,8.385,17.50275,0.06,2.344,97,5.91,4.41,0.01,27.6,56.76,5.08,0.23,87.7
Great Salt Plains,81,12.554,0.238666667,15.14285714,97.85714286,3759.525,9.861666667,8.335,18.12216667,0.48,13.578,8168,0.83,3.09,0.69,1.2,63.26,29.91,1.01,67
Greenleaf,13.24,3.77,0.0296,101.1666667,6.166666667,123.3,9.35,7.8,18.81283333,0.115,1.453,225,1.29,3.31,0.21,68.83,9.92,16,0.45,110.3
Hauani,4.373333333,2.9,0.037333333,119.3333333,8.93,225.7333333,8.55,7.803333333,18.436,0.365,0.422,8,0.71,2.78,0,20.95,59.41,16.11,0.03,97.6
