,OW,UL,BL,FOREST,GRASS,AG,WETL,LA,WA,WA:LA,LAT,LONG,SL,SDR,AVGSL,MAXDEPTH,ELEV,CAP,PRECIP
Altus,0.22,3.33,0.29,1.8,68.96,23.6,1.79,20.59,6664,323.58,34.89,-99.29,51.49,2.5,2.4,14.78,475.16,122516,59.2
Arcadia,2.57,58.4,0.03,20.84,16.9,1.19,0.07,6.78,495,72.98,35.65,-97.36,41.19,6.07,3.4,14.57,306.61,29544,85.1
Atoka,0.62,3.85,0.02,59.12,20.05,15.76,0.59,22.41,447,19.95,34.45,-96.09,102.33,4.57,5.6,18.26,179.82,105195,108
Bell Cow,4.9,5.55,0.03,33.8,50.62,5.02,0.09,4.67,84,18,35.73,-96.92,20.92,4.48,3.9,11.89,271.87,15613,87.8
Birch,2.75,5.42,0,36.21,49.23,6.32,0.07,4.6,165,35.86,36.53,-96.16,49.88,10.84,5.7,16,228.59,19000,94.5
Bluestem,3.06,1.49,0,3.45,90.73,1.18,0.09,3.5,122,34.85,36.7,-96.4,36.04,10.3,5.1,17.5,267.3,14436,94.1
Broken Bow,0.36,3.81,0.04,75.76,12.68,7.2,0.16,57.47,1256,21.86,34.15,-94.68,354.14,6.16,13.2,51.51,182.57,918070,138.4
Brown,4.03,12.95,0.19,62.57,17.47,1.93,0.84,2.21,54,24.39,34.84,-95.86,10.3,4.65,1.9,8.54,217.01,6922,107.5
Canton,0.24,3.13,0.08,0.8,61.8,33.57,0.38,32.01,33030,1031.82,36.09,-98.59,60.82,1.9,1.6,10.73,492.23,116000,49.3
Carl Albert,3.36,1.42,0.01,93.66,1.42,0.03,0.09,0.65,13,19.95,34.77,-95.07,6.6,10.12,17.3,13.2,231.64,2680,123.1
Carl Blackwell,6.81,4.5,0,18.09,64.82,5.33,0.44,13.64,198,14.52,36.13,-97.19,95.25,6.98,3.9,13.99,287.72,61500,84
Carl Etling,0.33,0.79,0,0.01,98.4,0.01,0.45,0.64,108,167.84,36.85,-102.87,6.11,9.5,4.2,11.58,1309.97,171,41.1
Cedar,1.25,2.43,0,95.63,0.68,0.01,0,0.32,24,76.03,34.78,-94.69,4.18,13.25,14.1,10,218.84,1000,139.4
Chandler,5.4,7.68,0.13,32.3,52.23,2.15,0.12,0.72,14,19.43,35.73,-96.91,6.76,9.38,3.8,7.96,271.87,2131,88.5
Chelsea,10.45,1.49,0,77.88,10.18,0,0,0.06,0.66,10.26,36.54,-95.47,1.1,16.94,7.3,6.34,242,333,103.1
Chickasha,3.11,3.08,0,20.64,65.8,6.76,0.62,5.69,190,33.37,35.13,-98.13,19.63,3.45,6.1,8.2,359.65,17244,76.9
Claremore,1.95,9.82,0.02,49.05,7.55,31.55,0.05,2.51,149,59.29,36.33,-95.58,28.64,11.4,5.1,7.41,185.92,5188,103.1
Clayton,0.99,1.37,0,88.16,9.46,0,0,0.27,24,89.85,34.54,-95.31,3.54,13.25,14.8,4.4,202.38,953,126.9
Clear Creek,6,5.27,0,23.52,49.79,14.65,0.77,2.92,52,17.8,34.59,-97.84,15.61,5.34,2.7,9.39,350.5,7710,86.7
Cleveland,1.47,5.15,0,30.73,58.05,4.38,0.22,0.64,57,88.58,36.28,-96.58,10.94,17,4,9.2,232.55,2200,94
Clinton,0.9,4.05,0,2.46,33.92,58.62,0.05,1.36,24,17.7,35.44,-99.22,9.17,6.76,1.9,7.01,524.84,3980,65.8
Copan,2.22,3.7,0.03,22.34,34.86,36.6,0.26,19.63,1315,67,36.89,-95.97,81.58,4.16,4.3,10.21,216.4,43400,96.4
Crowder,0.9,3.41,0,2.38,45.37,47.88,0.07,0.64,69,107.91,35.39,-98.7,12.87,20.13,3.5,8.69,463.27,2094,73.2
Cushing,2.56,5.47,0.04,13.34,66.23,12.25,0.09,2.39,83,34.7,36.01,-96.88,12.87,5.38,2.8,10.49,255.41,3044,89.3
Dripping Springs,6.07,2,0,45.27,31.98,14.42,0.26,4.27,66,15.46,35.57,-96.11,35.4,8.29,4,10.97,225.85,17008,102.2
Duncan,6.65,3.19,0,30.75,57.26,1.46,0.68,2.02,28,13.84,34.52,-97.81,9.49,4.69,3,7.71,329.78,7200,86.5
Ellsworth,3.33,4.16,0.1,3.87,55.41,32.95,0.16,20.69,646,31.23,34.8,-98.37,86.08,4.16,2.9,16.52,375.5,81224,77.8
Elmer Thomas,45.45,27.27,0,0,27.27,0,0,1.35,0.01,0.01,35.88,-97.99,14.64,10.83,23.9,21.7,421.52,12000,77.2
Elmore City,4.02,4.13,0,6.02,76,9.7,0.13,0.28,7,25.07,34.63,-97.39,3.86,13.83,2,6.86,296.86,1554,90.9
Eucha,1.25,5.91,0.1,46.94,3.79,41.87,0.13,11.38,930,81.72,36.37,-94.93,77.23,6.79,8.4,25.36,237.12,74456,113.6
