PHYTOPLANKTON_GROUP,PERCENT_TOTAL_BV
Cyanobacteria,0.57
Cyanobacteria,0.73
Cyanobacteria,0.89
Cyanobacteria,0.67
Cyanobacteria,0.74
Cyanobacteria,0.91
Cyanobacteria,0.92
Cyanobacteria,0.69
Cyanobacteria,0.85
Cyanobacteria,0.55
Cyanobacteria,0.79
Cyanobacteria,0.65
Cyanobacteria,0.58
Cyanobacteria,0.71
Cyanobacteria,0.93
Cyanobacteria,0.85
Cyanobacteria,0.67
Cyanobacteria,0.48
Cyanobacteria,0.64
Cyanobacteria,0.87
Cyanobacteria,0.94
Cyanobacteria,0.81
Cyanobacteria,0.49
Cyanobacteria,0.44
Cyanobacteria,0.48
Cyanobacteria,0.86
Cyanobacteria,0.30
Cyanobacteria,0.52
Cyanobacteria,0.82
Cyanobacteria,0.76
Cyanobacteria,0.63
Cyanobacteria,0.85
Cyanobacteria,0.37
Cyanobacteria,0.75
Cyanobacteria,0.95
Cyanobacteria,0.89
Cyanobacteria,0.77
Cyanobacteria,0.67
Cyanobacteria,0.88
Cyanobacteria,0.30
Cyanobacteria,0.63
Cyanobacteria,0.87
Cyanobacteria,0.60
Cyanobacteria,0.99
Cyanobacteria,0.83
Cyanobacteria,0.95
Cyanobacteria,0.76
Cyanobacteria,0.42
Cyanobacteria,0.20
Cyanobacteria,0.21
Cyanobacteria,0.74
Cyanobacteria,0.78
Cyanobacteria,0.56
Cyanobacteria,0.60
Cyanobacteria,0.52
Cyanobacteria,0.74
Cyanobacteria,0.31
Cyanobacteria,0.98
Cyanobacteria,0.68
Cyanobacteria,0.87
Cyanobacteria,0.80
Cyanobacteria,0.76
Cyanobacteria,0.93
Cyanobacteria,0.91
Cyanobacteria,0.22
Cyanobacteria,0.61
Cyanobacteria,0.61
Cyanobacteria,0.85
Cyanobacteria,0.70
Cyanobacteria,0.87
Cyanobacteria,0.77
Cyanobacteria,0.22
Cyanobacteria,0.65
Cyanobacteria,0.11
Cyanobacteria,0.59
Cyanobacteria,0.05
Cyanobacteria,0.84
Cyanobacteria,0.73
Cyanobacteria,0.77
Cyanobacteria,0.88
Cyanobacteria,0.15
Cyanobacteria,0.98
Cyanobacteria,0.93
Cyanobacteria,0.96
Cyanobacteria,0.82
Cyanobacteria,0.19
Cyanobacteria,0.51
Cyanobacteria,0.38
Cyanobacteria,1.00
Cyanobacteria,0.62
Cyanobacteria,0.88
Cyanobacteria,0.74
Cyanobacteria,0.97
Cyanobacteria,0.83
Cyanobacteria,0.72
Cyanobacteria,0.50
Cyanobacteria,0.63
Cyanobacteria,0.86
Cyanobacteria,0.82
Cyanobacteria,0.32
Cyanobacteria,0.70
Cyanobacteria,0.77
Cyanobacteria,0.44
Cyanobacteria,0.76
Cyanobacteria,0.98
Cyanobacteria,0.89
Cyanobacteria,0.90
Cyanobacteria,0.45
Cyanobacteria,0.10
Chlorophyta,0.32
Chlorophyta,0.01
Chlorophyta,0.00
Chlorophyta,0.14
Chlorophyta,0.06
Chlorophyta,0.03
Chlorophyta,0.03
Chlorophyta,0.22
Chlorophyta,0.11
Chlorophyta,0.07
Chlorophyta,0.09
Chlorophyta,0.10
Chlorophyta,0.26
Chlorophyta,0.24
Chlorophyta,0.01
Chlorophyta,0.06
Chlorophyta,0.10
Chlorophyta,0.40
Chlorophyta,0.03
Chlorophyta,0.05
Chlorophyta,0.06
Chlorophyta,0.13
Chlorophyta,0.37
Chlorophyta,0.15
Chlorophyta,0.01
Chlorophyta,0.14
Chlorophyta,0.54
Chlorophyta,0.09
Chlorophyta,0.06
Chlorophyta,0.02
Chlorophyta,0.27
Chlorophyta,0.10
Chlorophyta,0.10
Chlorophyta,0.05
Chlorophyta,0.04
Chlorophyta,0.05
Chlorophyta,0.05
Chlorophyta,0.26
Chlorophyta,0.07
Chlorophyta,0.52
Chlorophyta,0.02
Chlorophyta,0.05
Chlorophyta,0.08
