,Cyanobacteria,Chlorophyta,Bacillariophyta,Charophyta,Cryptophyta,Haptophyta,Ochrophyta,Euglenozoa,Miozoa,UL,FR,GS,AG,WL,LT,LN,PR
Altus,8.043611525,4.427529645,0,0,0,0,0,1.566098511,0,3.33,1.8,68.96,23.6,323.58,34.89,-99.29,59.2
Arcadia,4.557664226,0.058398073,1.405726843,0,0.14212344,0.0369489,0.027041301,0,0,58.4,20.84,16.9,1.19,72.98,35.65,-97.36,85.1
Atoka,2.290889372,0.002356203,0.259633737,0,0.029628891,0,0,0,0,3.85,59.12,20.05,15.76,19.95,34.45,-96.09,108
Bell Cow,3.870092126,0.815780341,0.15698002,0.0233907,0.215161816,0,0.003915246,0.649630835,0,5.55,33.8,50.62,5.02,18,35.73,-96.92,87.8
Birch,3.303689704,0.27361031,0.118567894,0.001503455,0.541070629,0.029436957,0.208813135,0,0,5.42,36.21,49.23,6.32,35.86,36.53,-96.16,94.5
Bluestem,1.352450577,0.047539923,0.009322636,0,0.079575591,0,0.001095174,0,0,1.49,3.45,90.73,1.18,34.85,36.7,-96.4,94.1
Broken Bow,1.260407639,0.040286431,0.045450875,0,0.005011515,0.003176346,0.021333359,0,0,3.81,75.76,12.68,7.2,21.86,34.15,-94.68,138.4
Brown,4.234174504,1.388526565,0,0,0.444366357,0.002088131,0,0.106912325,0,12.95,62.57,17.47,1.93,24.39,34.84,-95.86,107.5
Canton,1.117829749,0.142886922,0.011633875,0,0.007636595,0.001006778,0.004116602,0.024162663,0,3.13,0.8,61.8,33.57,1031.82,36.09,-98.59,49.3
Carl Albert,0.508945508,0.0652911,0.068007828,0,0.023937496,0,0,0.26310455,0,1.42,93.66,1.42,0.03,19.95,34.77,-95.07,123.1
Carl Blackwell,3.175574848,0.366764896,0.240220285,0.004176263,0.127898045,0,0.080184244,0,0,4.5,18.09,64.82,5.33,14.52,36.13,-97.19,84
Carl Etling,2.760489896,0.443813089,0.068087221,0,0.58916626,0.35607585,0.028830917,0,0,0.79,0.01,98.4,0.01,167.84,36.85,-102.87,41.1
Cedar,5.56400705,2.475116675,0,0.616801875,0,0,0.910746518,0,0,2.43,95.63,0.68,0.01,76.03,34.78,-94.69,139.4
Chandler,6.836596631,2.27667373,0.24995979,0.051420234,0.072145591,0,0.029544713,0.159742048,0,7.68,32.3,52.23,2.15,19.43,35.73,-96.91,88.5
Chelsea,14.85856769,0.143873821,0.081709769,0,0.905074431,0,0,0,0,1.49,77.88,10.18,0,10.26,36.54,-95.47,103.1
Chickasha,7.203401504,0.507761094,0.32489362,0.00530631,0.08826654,0.007593205,0.328127877,0,0,3.08,20.64,65.8,6.76,33.37,35.13,-98.13,76.9
Claremore,1.376764884,0.205156256,0.239004784,0,0.205889751,0,0.019054198,0,0,9.82,49.05,7.55,31.55,59.29,36.33,-95.58,103.1
Clayton,0.831932261,0.699061599,0.066499371,0.039911814,0.076504741,0.016300838,0.013966554,0,0,1.37,88.16,9.46,0,89.85,34.54,-95.31,126.9
Clear Creek,1.121041457,0.047128857,0.388809711,0.003853552,0.162060871,0.004449144,0.016344374,0,0,5.27,23.52,49.79,14.65,17.8,34.59,-97.84,86.7
Cleveland,2.569195561,0.142514963,0.215240664,0,0,0,0.014094887,0,0,5.15,30.73,58.05,4.38,88.58,36.28,-96.58,94
Clinton,3.315922861,0.202619333,0,0.004555923,0,0,0,0,0,4.05,2.46,33.92,58.62,17.7,35.44,-99.22,65.8
Copan,2.017987763,0.321289282,0.069365113,0,0.04228466,0,0.039152463,0,0,3.7,22.34,34.86,36.6,67,36.89,-95.97,96.4
Crowder,1.982930567,1.487217251,0.191299275,0.01555449,0.274911983,0,0.079672057,0,0,3.41,2.38,45.37,47.88,107.91,35.39,-98.7,73.2
Cushing,0.731919473,0.252324427,0.219880231,0.002255182,0.464455686,0,0.002818977,0,0,5.47,13.34,66.23,12.25,34.7,36.01,-96.88,89.3
Dripping Springs,1.222852539,0.022906168,0.946791657,0,0,0,0,0.343829809,0,2,45.27,31.98,14.42,15.46,35.57,-96.11,102.2
Duncan,0.588733768,0.095897458,0,0,0,0,0,0,0,3.19,30.75,57.26,1.46,13.84,34.52,-97.81,86.5
Ellsworth,0.961811969,1.701523592,0.041219713,0.00253708,0,0,0.006342699,0.441915413,0,4.16,3.87,55.41,32.95,31.23,34.8,-98.37,77.8
Elmer Thomas,6.818621586,1.120920786,0.214033463,0,4.392269638,0.145447765,0.109626896,0.247759231,0,27.27,0,27.27,0,0.01,35.88,-97.99,77.2
Elmore City,1.542898682,0.106509163,0.062683093,0,0.180766921,0,0,0,0,4.13,6.02,76,9.7,25.07,34.63,-97.39,90.9
Eucha,2.021069657,0.061321133,0.435469772,0.007593205,0.087450271,0.020347416,0.002210963,0.019653001,0,5.91,46.94,3.79,41.87,81.72,36.37,-94.93,113.6
Eufaula,1.048422146,0.44377356,0.062643941,0,0.03132197,0,0.073998155,0,0,4.52,51.34,14.93,17.11,7.44,35.46,-95.61,107.48
Fairfax,4.169087901,0.497528211,0,0,0.065776137,0,0.169138639,0,0,0.49,3.33,78.89,14.41,46.75,36.61,-96.73,90.4
Fort Cobb,0.518088464,0.137170102,0.729106342,0.011365401,0,0,0.003775416,0.011932179,0,3.73,3.86,38.14,51.71,47.49,35.16,-98.46,73.9
Fort Gibson,1.715221912,0.124967902,0.268169994,0,0.146795634,0.017818721,0.013050821,0,0,5.9,41.87,4.79,38.42,12.31,35.87,-95.23,109.2
Fort Supply,4.18902035,0.192799338,0,0,0.015660985,0,0,0,0,2.69,0.2,72.47,23.26,673.82,36.55,-99.57,54.9
