,CL,PS,TB,CN,DO,pH,TM,NOx,Cyanobacteria,Chlorophyta,Bacillariophyta,Charophyta,Cryptophyta,Haptophyta,Ochrophyta,Euglenozoa,Miozoa
Arcadia,16.2,0.052333333,14.09666667,411.6,8.8125,8.285,21.73975,0.445,4.557664226,0.058398073,1.405726843,0,0.14212344,0.0369489,0.027041301,0,0
Birch,10.356,0.022,9.06,176.5,9.016,7.884,18.5924,0.206666667,3.303689704,0.27361031,0.118567894,0.001503455,0.541070629,0.029436957,0.208813135,0,0
Bluestem,4.351428571,0.050428571,27.15,189.6,8.95375,7.96375,17.106375,0.16,1.352450577,0.047539923,0.009322636,0,0.079575591,0,0.001095174,0,0
Broken Bow,4.37,0.023,2.16,36.1,8.842,7.096,20.6554,0.135,1.260407639,0.040286431,0.045450875,0,0.005011515,0.003176346,0.021333359,0,0
Brown,6.346,0.063,44.72,105.2,8.354,7.254,20.296,0.13,4.234174504,1.388526565,0,0,0.444366357,0.002088131,0,0.106912325,0
Canton,13.936,0.049166667,16.31428571,1388.6,9.478571429,8.194285714,16.75671429,0.11,1.117829749,0.142886922,0.011633875,0,0.007636595,0.001006778,0.004116602,0.024162663,0
Carl Blackwell,14.726,0.0324,10.482,415.25,8.438,8.092,19.1858,0.14,3.175574848,0.366764896,0.240220285,0.004176263,0.127898045,0,0.080184244,0,0
Chickasha,31.438,0.038,7.828,3040.4,9.016,8.018,19.3372,0.09,7.203401504,0.507761094,0.32489362,0.00530631,0.08826654,0.007593205,0.328127877,0,0
Claremore,40.8,0.067,12.69333333,168.4333333,9.736666667,7.823333333,16.37233333,0.27,1.376764884,0.205156256,0.239004784,0,0.205889751,0,0.019054198,0,0
Clear Creek,12.7675,0.023,6.425,689.4,9.0325,7.9725,17.249,0.11,1.121041457,0.047128857,0.388809711,0.003853552,0.162060871,0.004449144,0.016344374,0,0
Clinton,36.015,0.08025,20.8,712.8,9.26,8.5525,17.0695,0.1,3.315922861,0.202619333,0,0.004555923,0,0,0,0,0
Copan,13.07,0.0735,28.75,293,9.4825,7.955,14.81475,0.15,2.017987763,0.321289282,0.069365113,0,0.04228466,0,0.039152463,0,0
Crowder,42.28,0.0936,9.25,995.05,9.274,8.004,20.0038,0.5,1.982930567,1.487217251,0.191299275,0.01555449,0.274911983,0,0.079672057,0,0
Duncan,9.81,0.02825,10.09,333.175,8.7925,8.315,19.08575,0.105,0.588733768,0.095897458,0,0,0,0,0,0,0
Ellsworth,8.694,0.0838,20.46,349.8,9.6,8,13.47225,0.266,0.961811969,1.701523592,0.041219713,0.00253708,0,0,0.006342699,0.441915413,0
Elmer Thomas,92.185,0.222,14.375,482.2,9.975,8.7075,21.8505,0.9,6.818621586,1.120920786,0.214033463,0,4.392269638,0.145447765,0.109626896,0.247759231,0
Elmore City,13.87,0.06925,24.2,163.375,8.4875,7.665,18.25525,0.17,1.542898682,0.106509163,0.062683093,0,0.180766921,0,0,0,0
Eucha,23,0.041,9.25,148.9,10.1775,8.2825,17.0375,1.315,2.021069657,0.061321133,0.435469772,0.007593205,0.087450271,0.020347416,0.002210963,0.019653001,0
Fort Cobb,42.61428571,0.110142857,8.607142857,459.1333333,9.413333333,8.313333333,17.337,0.204,0.518088464,0.137170102,0.729106342,0.011365401,0,0,0.003775416,0.011932179,0
Fort Gibson,19.53333333,0.099666667,7,278.8,10.08333333,8.12,21.955,0.17,1.715221912,0.124967902,0.268169994,0,0.146795634,0.017818721,0.013050821,0,0
Fort Supply,35.05333333,0.083666667,46.8,1300.9,8.633333333,8.35,17.498,0.09,4.18902035,0.192799338,0,0,0.015660985,0,0,0,0
Frederick,5.31,0.069666667,48.73333333,491.7,8.8,8.033333333,18.70333333,0.22,2.941310639,0.187088801,0.059369151,0,0.037122335,0,0.574236121,0,0
Fuqua,14.605,0.0255,8.7425,599.8,8.96,8.385,17.50275,0.06,2.138913872,0.829852336,0.091078446,0.009083371,0.141798038,0.004126597,0,0,0
Great Salt Plains,81,0.238666667,97.85714286,3759.525,9.861666667,8.335,18.12216667,0.48,2.774471791,4.753686051,0.671243124,0,0,0,0.378130331,0.356288255,0.168005082
Greenleaf,13.24,0.0296,6.166666667,123.3,9.35,7.8,18.81283333,0.115,1.647888898,0.061470389,0.442688254,0.006655213,0.106230376,0,0.00730585,0.364038586,0
Hauani,4.373333333,0.037333333,8.93,225.7333333,8.55,7.803333333,18.436,0.365,0.503866168,0.030248736,0.012856146,0,0.030473667,0,0,0,0
Hefner,29.325,0.0945,5.7525,1255.9,10.66,8.42,16.892,0.1,1.603920713,0.222312322,0.383022005,0,0.256518275,0.026182668,0.169138639,0,0
Henryetta,3.505,0.127,91.64,71.7,7.856,7.332,20.2582,0.1975,3.432418756,0.031904297,0,0,0,0,0,0,0
Heyburn,10.11333333,0.053,47.13333333,205.4,5.236666667,7.343333333,27.02533333,0.12,3.597112781,0.192281896,0.00556835,0,0.167050508,0.194892259,0,0.168442595,0
Hominy,5.8625,0.01675,6.75,244.4,8.9675,7.905,16.75,0.195,1.262954892,0.149661544,0.055881695,0,0.074971947,0.127888106,0,0,0
Hudson-Mayes_cty,14.48857143,0.115142857,10.03285714,230.1,9.231428571,7.87,16.45114286,0.504285714,0.647710842,0.21222985,0.361382032,0,0.239213828,0,0.008725406,0.062678198,0
Hulah,12.318,0.0764,49.7,241.6,9.973333333,8.048333333,15.918,0.1275,1.916630018,0.126293064,0.269508316,0.016530637,0.03711907,0,0.017991489,0.218470742,0
