,Chla_corr_ug.L,Phosphorus_mg.L,Turbidity_NTU,Conductivity_uS.cm,DO_mg.L,pH_XX,Temperature_degC,NOx_mg.L,UL_XX,FOREST,GRASS,AG,WA_LA,LAT,LONG,PRECIP
Arcadia,16.2,0.052333333,14.09666667,411.6,8.8125,8.285,21.73975,0.445,58.4,20.84,16.9,1.19,72.98,35.65,-97.36,85.1
Birch,10.356,0.022,9.06,176.5,9.016,7.884,18.5924,0.206666667,5.42,36.21,49.23,6.32,35.86,36.53,-96.16,94.5
Bluestem,4.351428571,0.050428571,27.15,189.6,8.95375,7.96375,17.106375,0.16,1.49,3.45,90.73,1.18,34.85,36.7,-96.4,94.1
Broken Bow,4.37,0.023,2.16,36.1,8.842,7.096,20.6554,0.135,3.81,75.76,12.68,7.2,21.86,34.15,-94.68,138.4
Brown,6.346,0.063,44.72,105.2,8.354,7.254,20.296,0.13,12.95,62.57,17.47,1.93,24.39,34.84,-95.86,107.5
Canton,13.936,0.049166667,16.31428571,1388.6,9.478571429,8.194285714,16.75671429,0.11,3.13,0.8,61.8,33.57,1031.82,36.09,-98.59,49.3
Carl Blackwell,14.726,0.0324,10.482,415.25,8.438,8.092,19.1858,0.14,4.5,18.09,64.82,5.33,14.52,36.13,-97.19,84
Chickasha,31.438,0.038,7.828,3040.4,9.016,8.018,19.3372,0.09,3.08,20.64,65.8,6.76,33.37,35.13,-98.13,76.9
Claremore,40.8,0.067,12.69333333,168.4333333,9.736666667,7.823333333,16.37233333,0.27,9.82,49.05,7.55,31.55,59.29,36.33,-95.58,103.1
Clear Creek,12.7675,0.023,6.425,689.4,9.0325,7.9725,17.249,0.11,5.27,23.52,49.79,14.65,17.8,34.59,-97.84,86.7
Clinton,36.015,0.08025,20.8,712.8,9.26,8.5525,17.0695,0.1,4.05,2.46,33.92,58.62,17.7,35.44,-99.22,65.8
Copan,13.07,0.0735,28.75,293,9.4825,7.955,14.81475,0.15,3.7,22.34,34.86,36.6,67,36.89,-95.97,96.4
Crowder,42.28,0.0936,9.25,995.05,9.274,8.004,20.0038,0.5,3.41,2.38,45.37,47.88,107.91,35.39,-98.7,73.2
Duncan,9.81,0.02825,10.09,333.175,8.7925,8.315,19.08575,0.105,3.19,30.75,57.26,1.46,13.84,34.52,-97.81,86.5
Ellsworth,8.694,0.0838,20.46,349.8,9.6,8,13.47225,0.266,4.16,3.87,55.41,32.95,31.23,34.8,-98.37,77.8
Elmer Thomas,92.185,0.222,14.375,482.2,9.975,8.7075,21.8505,0.9,27.27,0,27.27,0,0.01,35.88,-97.99,77.2
Elmore City,13.87,0.06925,24.2,163.375,8.4875,7.665,18.25525,0.17,4.13,6.02,76,9.7,25.07,34.63,-97.39,90.9
Eucha,23,0.041,9.25,148.9,10.1775,8.2825,17.0375,1.315,5.91,46.94,3.79,41.87,81.72,36.37,-94.93,113.6
Fort Cobb,42.61428571,0.110142857,8.607142857,459.1333333,9.413333333,8.313333333,17.337,0.204,3.73,3.86,38.14,51.71,47.49,35.16,-98.46,73.9
Fort Gibson,19.53333333,0.099666667,7,278.8,10.08333333,8.12,21.955,0.17,5.9,41.87,4.79,38.42,12.31,35.87,-95.23,109.2
Fort Supply,35.05333333,0.083666667,46.8,1300.9,8.633333333,8.35,17.498,0.09,2.69,0.2,72.47,23.26,673.82,36.55,-99.57,54.9
